RCAB,Code,Name,Start Date,End Date,Status
ASQA,30446,Trinity Bay State High School,29-Jun-12,31-Dec-16,Current
ASQA,30447,Tullawong State High School,29-Jun-12,31-Dec-19,Current
ASQA,30448,Tully State High School,29-Jun-12,31-Dec-18,Current
ASQA,30449,Urangan State High School,29-Jun-12,31-Dec-17,Current
ASQA,3045,William Angliss Institute of TAFE,1-Jul-15,30-Jun-22,Current
ASQA,30450,Warwick State High School,29-Jun-12,31-Dec-19,Current
ASQA,30451,Wavell State High School,29-Jun-12,31-Dec-16,Current
ASQA,30452,Western Cape College,29-Jun-12,31-Dec-16,Current
ASQA,30453,Wellington Point State High School,1-Jan-98,17-Dec-14,Cancelled
QLD DETE,30454,Winton State School,1-Jan-98,31-Dec-05,Non-Current
ASQA,30455,William Ross State High School,29-Jun-12,31-Dec-16,Current
ASQA,30456,Woodridge State High School,29-Jun-12,31-Dec-22,Current
ASQA,30457,Woree State High School,29-Jun-12,31-Dec-16,Current
ASQA,30458,Brisbane Bayside State College,29-Jun-12,3-Dec-17,Current
ASQA,30459,Yeppoon State High School,29-Jun-12,31-Dec-16,Current
ASQA,3046,Royal Melbourne Institute of Technology,1-Jul-15,30-Jun-22,Current
ASQA,30460,Yeronga State High School,29-Jun-12,31-Dec-18,Current
QLD DETE,30461,Collinsville State High School,1-Jan-98,31-Dec-02,Non-Current
QLD DETE,30462,Townsville Community Learning Centre - A State Special School,1-Jan-98,31-Dec-06,Non-Current
QLD DETE,30463,Coorparoo Secondary College,1-Jan-98,31-Dec-01,Non-Current
ASQA,30464,Corinda State High School,29-Jun-12,31-Dec-22,Current
QLD DETE,30466,Quilpie State School,1-Jan-98,31-Dec-00,Non-Current
QLD DETE,30468,Margaret Ellen Wright,12-Jun-01,11-Jun-06,Non-Current
QLD DETE,30469,Lutheran Church of Australia Queensland District,1-Jan-98,21-Jun-08,Non-Current
QLD DETE,30470,Eagleby Learning Centre,1-Jan-98,31-Dec-00,Non-Current
ASQA,30471,Mackay Christian Colleges Ltd,29-Jun-12,12-Sep-22,Current
QLD DETE,30472,Matlyn Security Services Pty Ltd,23-Nov-98,22-Nov-03,Non-Current
ASQA,30473,THE MASTER PLUMBERS ASSN OF QLD UNION OF EMPLOYERS,29-Jun-12,25-Feb-23,Current
ASQA,30474,Toowoomba State High School,29-Jun-12,31-Dec-18,Current
QLD DETE,30475,Townsville Grammar School,1-Jan-98,31-Dec-06,Non-Current
ASQA,30477,Industry Training Qld Pty Ltd,29-Jun-12,15-May-16,Current
ASQA,30478,Villanova College,29-Jun-12,31-Dec-22,Current
ASQA,30479,Whitsunday Anglican School Limited,1-Jan-98,29-Jul-15,Cancelled
ASQA,30480,Windaroo Valley State High School,29-Jun-12,31-Dec-17,Current
QLD DETE,30483,Capra Ryan (AUST) Pty Ltd,15-Mar-01,14-Mar-06,Non-Current
ASQA,30484,Stanthorpe State High School,29-Jun-12,31-Dec-18,Current
ASQA,30486,The Corporation of The Trustees of The Roman Catholic Archdiocese of Brisbane,29-Jun-12,12-Feb-19,Current
ASQA,30487,The Corporation of The Trustees of The Roman Catholic Archdiocese of Brisbane,29-Jun-12,31-Dec-18,Current
ASQA,30488,Southside Christian College,1-Jan-98,28-Jan-14,Cancelled
ASQA,30489,The Corporation of The Trustees of The Roman Catholic Archdiocese of Brisbane,29-Jun-12,31-Dec-19,Current
Vic VRQA,3049,School of Mines & Industries Ballarat Ltd,1-Jan-98,30-Jun-99,Non-Current
ASQA,30490,The Corporation for The Trustees of The Roman Catholic Archdiocese of Brisbane,29-Jun-12,31-Dec-16,Current
ASQA,30491,The Roman Catholic Trust Corporation for the Diocese of Cairns,29-Jun-12,31-Dec-19,Current
ASQA,30492,Edmund Rice Education Australia,29-Jun-12,31-Mar-16,Current
ASQA,30493,The Corporation of the Synod of the diocese of Brisbane - St Paul's School Bald Hills,29-Jun-12,31-Dec-19,Current
ASQA,30494,The Corporation of The Trustees of The Roman Catholic Archdiocese of Brisbane,29-Jun-12,4-Dec-16,Current
ASQA,30495,Stuartholme School,1-Jan-98,24-Jun-15,Non-Current
ASQA,30496,Smithfield State High School,29-Jun-12,6-Mar-20,Current
ASQA,30497,Corporation of the Roman Catholic Diocese of Toowoomba Catholic Education,1-Jan-98,15-May-13,Non-Current
ASQA,30498,Edmund Rice Education Australia,29-Jun-12,31-Dec-18,Current
QLD DETE,30499,Somerset College Limited,1-Jan-98,31-Dec-06,Non-Current
ASQA,30500,The Corporation of the Synod of the Diocese of Brisbane - The Southport School,29-Jun-12,6-Mar-20,Current
ASQA,30501,Board of Trustees of the Rockhampton Grammar School,29-Jun-12,31-Dec-19,Current
ASQA,30502,Scots PGC College,29-Jun-12,31-Dec-17,Current
QLD DETE,30503,Trinity Anglican School,1-Jan-98,25-Nov-08,Non-Current
ASQA,30504,The Roman Catholic Trust Corporation for The Diocese of Rockhampton,1-Jan-98,17-Dec-14,Cancelled
ASQA,30505,The Cathedral School of St Anne and St James,29-Jun-12,6-Nov-17,Current
ASQA,30506,The Corporation of the synod of the Diocese of Brisbane - West Moreton Anglican College,29-Jun-12,3-Dec-17,Current
ASQA,30507,Trinity Lutheran College,29-Jun-12,4-Dec-17,Current
ASQA,30508,The Corporation of The Trustees of The Roman Catholic Archdiocese of Brisbane,29-Jun-12,31-Dec-18,Current
QLD DETE,30509,Calvary Temple Christian Colleges Ltd,1-Jan-98,31-Dec-09,Non-Current
ASQA,30510,Centenary State High School,29-Jun-12,11-Jun-18,Current
ASQA,30511,The Corporation of The Trustees of The Roman Catholic Archdiocese of Brisbane,29-Jun-12,31-Dec-17,Current
QLD DETE,30512,Dalby Christian School Ltd,1-Jan-98,4-Dec-06,Non-Current
QLD DETE,30513,Emmanuel Education Ltd.,1-Jan-98,31-Dec-09,Non-Current
ASQA,30514,Hillcrest Christian College Limited,1-Jan-98,1-Jan-14,Cancelled
ASQA,30515,Lutheran Church of Australia Queensland District,29-Jun-12,20-Jul-19,Current
ASQA,30516,Loreto College Coorparoo,1-Jan-98,31-Dec-12,Non-Current
ASQA,30517,Lourdes Hill College,29-Jun-12,22-Dec-22,Current
ASQA,30518,Mt St Michael's College Ltd,1-Jan-98,31-Dec-13,Non-Current
ASQA,30519,Northside Christian College,29-Jun-12,6-Nov-18,Current
ASQA,30520,Seventh-day Adventist Church - South Queensland Conference,1-Jan-98,17-Dec-14,Cancelled
ASQA,30521,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane,29-Jun-12,11-Jan-17,Current
QLD DETE,30522,Padua College Limited,1-Jan-98,3-Dec-07,Non-Current
ASQA,30523,Roman Catholic Trust for the Diocese of Townsville,29-Jun-12,31-Dec-18,Current
QLD DETE,30524,The Corporation of The Trustees of The Roman Catholic Archdiocese of Brisbane,1-Jan-98,29-Oct-09,Cancelled
ASQA,30525,The Roman Catholic Trust Corporation for The Diocese of Rockhampton,29-Jun-12,31-Dec-19,Current
ASQA,30526,Edmund Rice Education Australia,29-Jun-12,31-Dec-17,Current
ASQA,30527,The Corporation for the Trustees of the Roman Catholic Archdiocese of Brisbane,29-Jun-12,6-Mar-20,Current
ASQA,30528,The Corporation of the Synod of the Diocese of Brisbane - The Glennie School,29-Jun-12,4-Dec-18,Current
ASQA,30529,Impact Training Centre Ltd,7-Apr-14,6-Apr-19,Current
QLD DETE,30530,COOLAMON CONSULTING PTY LIMITED,3-Jan-01,2-Jan-06,Non-Current
ASQA,30531,Workplace Training Pty Ltd as trustee for the Reid Family Trust,3-Mar-98,31-Aug-13,Cancelled
QLD DETE,30532,Churches of Christ In Queensland,2-Sep-99,17-Dec-08,Non-Current
QLD DETE,30535,NRG Gladstone Operating Services Pty Ltd,1-Jan-98,31-Aug-04,Non-Current
QLD DETE,30536,Ruth A Baxter and Brian R Amos and Anne Marie C Dewar,12-Jun-01,11-Jun-06,Non-Current
QLD DETE,30539,Word of Life Church Ministry Lifeskills Training College Inc,2-Jan-01,1-Jan-06,Non-Current
QLD DETE,30540,The Association of Independent Schools Queensland Inc,1-Jan-98,11-Sep-02,Non-Current
ASQA,30541,Educorp (Aust) Pty Limited,16-Nov-00,2-Nov-12,Cancelled
QLD DETE,30543,Meat Industry Services Pty Ltd,8-Aug-00,7-Nov-05,Non-Current
ASQA,30544,Yellow Cabs (Queensland) Pty Ltd as Trustee for the Monburn Trust,29-Jun-12,22-Jul-16,Current
QLD DETE,30546,National Golf Institute Pty Ltd,9-Oct-00,8-Oct-05,Non-Current
ASQA,30547,Australian Security Academy Pty Ltd,29-Jun-12,14-Aug-16,Current
ASQA,30548,Scripture Union Queensland,31-Dec-15,30-Dec-22,Current
QLD DETE,30549,Win Services Pty Ltd,26-Sep-00,26-Sep-05,Non-Current
QLD DETE,30550,South Blackwater Coal Limited,1-Jan-98,17-Sep-01,Non-Current
QLD DETE,30551,Merrick Family Trust,11-Jul-00,10-Jul-05,Non-Current
ASQA,30553,The Association for Parent Controlled Christian Schools At Brisbane,29-Jun-12,4-Dec-18,Current
ASQA,30554,The Roman Catholic Trust Corporation for The Diocese of Cairns,29-Jun-12,31-Mar-20,Current
ASQA,30555,The Trustee for Roman Catholic Trust Corporation for the Diocese of Townsville,29-Jun-12,31-Dec-22,Current
ASQA,30556,Cooktown State School,29-Jun-12,31-Dec-16,Current
QLD DETE,30557,Allan Goodbun Management Strategies Pty Ltd,25-Nov-98,24-Nov-03,Non-Current
QLD DETE,30558,Mirben Security Services Pty Ltd,15-Mar-01,14-Mar-06,Non-Current
ASQA,30561,Heights College Ltd,29-Jun-12,3-Dec-17,Current
QLD DETE,30562,Congress Community Development and Education Unit Limited,1-Jan-98,1-Jan-07,Non-Current
QLD DETE,30563,Edwin Robertson Rooms,18-Jun-01,17-Jun-06,Non-Current
QLD DETE,30564,Leichhardt Community Group Inc,15-Feb-99,14-Feb-04,Non-Current
ASQA,30566,Redlands Combined Independent College Inc,29-Jun-12,31-Dec-17,Current
QLD DETE,30568,DA and KM Woodman,25-Mar-98,24-Mar-03,Non-Current
ASQA,30570,The Roman Catholic Trust Corporation for The Diocese of Rockhampton,29-Jun-12,31-Dec-18,Current
QLD DETE,30571,Vincent Chee Hong Leo,1-Jan-98,19-Jun-02,Non-Current
ASQA,30572,Citipointe Christian College the Christian Outreach College Brisbane,29-Jun-12,4-Dec-19,Current
QLD DETE,30573,The Corporation of The Trustees of The Roman Catholic Archdiocese of Brisbane,1-Jan-98,4-Dec-11,Non-Current
ASQA,30574,Suncoast Christian College,29-Jun-12,23-Dec-17,Current
ASQA,30575,Nambour Christian College Ltd,29-Jun-12,3-Dec-17,Current
ASQA,30576,Lutheran Church of Australia Queensland District Good Shepherd Lutheran College,1-Jan-98,31-Dec-13,Cancelled
ASQA,30579,Northern Beaches State High School,29-Jun-12,2-Dec-18,Current
QLD DETE,30580,Redland District Special School,16-Feb-00,8-Mar-05,Non-Current
ASQA,30581,The Corporation of The Trustees of The Roman Catholic Archdiocese of Brisbane,29-Jun-12,2-Dec-19,Current
ASQA,30582,St Andrews Lutheran College,1-Jan-98,2-Dec-13,Cancelled
ASQA,30583,Christian Outreach Centre,29-Jun-12,31-Dec-16,Current
QLD DETE,30584,Assumption College,1-Jan-98,2-Dec-08,Non-Current
ASQA,30585,The Baptist Union Of Queensland - Community Services Group,29-Jun-12,2-Dec-19,Current
ASQA,30586,Tannum Sands State High School,29-Jun-12,2-Dec-18,Current
ASQA,30587,Victoria Point State High School,29-Jun-12,1-Dec-19,Current
ASQA,30588,Lutheran Church of Australia Queensland District,29-Jun-12,31-Dec-19,Current
QLD DETE,30589,Toowoomba Grammar School,1-Jan-98,31-Dec-05,Non-Current
ASQA,3059,Swinburne University of Technology,1-Jul-15,30-Jun-22,Current
ASQA,30590,Hills Educational Foundation Limited,26-Feb-15,25-Feb-22,Current
QLD DETE,30594,Peace Lutheran Church Gatton,9-Dec-98,8-Dec-03,Non-Current
QLD DETE,30598,Centrecourt Constructions Trust and Beauty Training (Australia) Pty Ltd,1-Jan-98,23-Jun-04,Non-Current
QLD DETE,30600,Paraplanning Professionals Pty Ltd,9-Oct-00,9-Oct-05,Non-Current
QLD DETE,30601,Carson Australasia Pty Ltd,29-Nov-00,28-Nov-05,Non-Current
QLD DETE,30602,REB Engineering Pty Ltd,1-Jan-98,3-Dec-02,Non-Current
ASQA,30604,DLDC Pty Ltd,29-Nov-15,28-Nov-22,Current
QLD DETE,30605,Extraman Queensland Pty Ltd,16-Nov-00,15-Nov-05,Non-Current
QLD DETE,30606,Amstar Learning Pty Ltd,1-Jan-98,18-Nov-02,Non-Current
QLD DETE,30608,Brisbane Convention and Exhibition Centre,5-Sep-00,4-Sep-05,Non-Current
ASQA,30610,Queensland Institute for Aviation Engineering Pty Ltd,22-Aug-00,30-Sep-14,Cancelled
ASQA,30611,YOGA QUEENSLAND PTY. LTD.,29-Jun-12,10-Apr-16,Current
QLD DETE,30613,Kellie-Anne Pevy,30-Sep-02,30-Nov-10,Non-Current
ASQA,30614,YWAM Townsville Assoc. Inc.,24-Jan-16,23-Jan-23,Current
QLD DETE,30615,Shafston House College Limited,9-Oct-00,8-Oct-05,Non-Current
QLD DETE,30616,Total Crane Management Pty Ltd,9-Oct-00,9-Oct-05,Non-Current
ASQA,30617,BRAIN INJURY ASSOC QLD INC,29-Jun-12,5-Apr-16,Current
ASQA,30619,The Roman Catholic Trust Corporation for The Diocese of Rockhampton,29-Jun-12,3-Dec-17,Current
ASQA,30621,The Australian Dental Association (Queensland Branch) Union of Employers,29-Jun-12,13-Mar-16,Current
ASQA,30622,Worklinks Inc,29-Jun-12,29-Apr-16,Current
QLD DETE,30623,International Education and Training Ltd,23-Jul-01,22-Jul-06,Non-Current
ASQA,30624,Tamborine Mountain State High School,7-Feb-01,17-Dec-14,Cancelled
ASQA,30625,Presbyterian and Methodist Schools' Association - Sunshine Coast Grammar School,7-Dec-00,26-Feb-14,Cancelled
QLD DETE,30626,Mackay District Special School,12-Feb-01,12-Feb-06,Non-Current
ASQA,30627,Goodna Special School,14-Dec-00,26-Feb-14,Cancelled
QLD DETE,30628,Burdekin School,11-Dec-00,16-Feb-06,Non-Current
QLD DETE,30629,Logan City Special School,5-Dec-00,6-Dec-05,Non-Current
QLD DETE,30630,AAP Professional Services Pty Ltd,12-Jun-01,11-Jun-06,Non-Current
QLD DETE,30631,THE BUSINESS TEAM PTY. LTD.,26-Feb-02,25-Feb-07,Non-Current
QLD DETE,30632,ABORIGINAL & TORRES STRAIT ISLANDER INDEPENDENT COMMUNITY SCHOOL,5-Mar-02,4-Mar-12,Non-Current
QLD DETE,30633,"HARRIS, LYNDA ",23-Jul-01,25-Sep-09,Non-Current
ASQA,30634,P F & T G MCCAHON,29-Jun-12,11-Aug-16,Current
QLD DETE,30635,Thriller Pty Ltd,20-May-99,19-May-04,Non-Current
QLD DETE,30636,Training Corp Pty Ltd,20-Jul-01,19-Jul-06,Non-Current
ASQA,30637,National Institute of Financial Studies Pty Ltd,9-Nov-01,23-Aug-13,Cancelled
QLD DETE,30639,Marcelle Louise Barakat,30-Nov-98,29-Nov-03,Non-Current
Vic VRQA,3064,St John Ambulance Australia (Victoria),1-Jun-95,30-Jun-03,Non-Current
QLD DETE,30643,Geebung Special School,14-Oct-02,22-Feb-08,Non-Current
ASQA,30645,Sea English Academy International Pty Ltd,1-Jun-14,31-May-19,Current
ASQA,30646,Spinifex State College Mount Isa,29-Jun-12,31-Dec-18,Current
ASQA,30657,Academy of Career Training Pty Ltd,29-Jun-12,30-Apr-23,Current
QLD DETE,30658,Frederick Frank Marnock,1-May-01,30-Apr-06,Non-Current
QLD DETE,30659,CREATIVE CORPORATE SOLUTIONS PTY. LTD.,8-Jan-02,7-Jan-07,Non-Current
ASQA,30660,Michael Robert Bakhash,29-Jun-12,27-Feb-17,Current
QLD DETE,30662,Mr Graham and Mrs Carol Dangerfield,16-Oct-01,15-Oct-06,Non-Current
QLD DETE,30663,Rosecove Pty Ltd,20-Aug-01,19-Aug-06,Non-Current
QLD DETE,30664,Miracleley Pty Ltd as the trustee Jasinski Family Trust and Mcdonnell Family Trust,9-Nov-01,8-Nov-06,Non-Current
QLD DETE,30665,Mitchelton State Special School,9-Apr-00,8-Apr-05,Non-Current
QLD DETE,30666,North Brisbane Christian Schools Association Inc,27-Apr-01,26-Apr-06,Non-Current
ASQA,30667,Corporation of the Roman Catholic Diocese of Toowoomba Catholic Education,29-Jun-12,7-Dec-19,Current
QLD DETE,30668,Rockhampton Special School,21-Jun-00,20-Jun-05,Non-Current
QLD DETE,30669,Currimundi Special School,7-Aug-00,6-Aug-05,Non-Current
Vic VRQA,3067,Metropolitan Fire and Emergency Services Board,1-Jul-92,30-Jun-19,Current
QLD DETE,30670,KEVIN DAVID & MICHELLE MOTT,21-May-02,20-May-12,Cancelled
QLD DETE,30671,Bridget Marie Gray,7-Dec-01,21-Jun-08,Non-Current
QLD DETE,30672,Flightship Ground Effect Pty Ltd,16-Oct-02,15-Oct-07,Non-Current
QLD DETE,30674,OSA Group Pty Ltd,19-Sep-01,18-Sep-06,Non-Current
QLD DETE,30675,Globaltech Training Solutions Pty Ltd,20-Aug-01,19-Aug-06,Non-Current
QLD DETE,30676,Baralaba State School,14-May-02,13-May-07,Non-Current
QLD DETE,30680,International House Queensland English Language College Pty Ltd,9-Oct-01,8-Oct-06,Non-Current
QLD DETE,30681,Department of Primary Industries,7-Dec-01,6-Dec-06,Non-Current
ASQA,30683,Queensland Training and Assessment Services Pty Ltd,29-Jun-12,22-Aug-16,Current
ASQA,30685,Tallebudgera Beach Outdoor Education School,29-Jun-12,8-Nov-16,Current
ASQA,30686,Klinge and Co Pty Ltd as trustee for The Klinge Family Trust No 2,29-Jun-12,26-Sep-16,Current
QLD DETE,30687,EATS (AUSTRALIA) TRUST,25-Mar-98,26-May-08,Non-Current
ASQA,30688,The University of Queensland,25-Sep-01,30-Nov-14,Cancelled
ASQA,30689,Family Planning Queensland,3-Apr-02,27-Feb-15,Cancelled
QLD DETE,30690,Townsville City Council,20-Jul-01,19-Jul-06,Non-Current
ASQA,30691,Auto & General Training Pty Ltd,29-Jun-12,8-Oct-16,Current
QLD DETE,30692,Incitec Limited,27-Sep-01,26-Sep-06,Non-Current
ASQA,30693,Queensland Child Care Service Pty Ltd as Trustee for the Queensland Child Care Service Trust No.2,29-Jun-12,7-Jan-17,Current
QLD DETE,30695,G L Marketing and Distribution Pty Ltd,8-Jan-02,7-Jan-07,Non-Current
QLD DETE,30696,Q.P.I. Pty Ltd,21-Aug-01,20-Aug-06,Non-Current
QLD DETE,30697,Jupiters Gaming Pty Ltd,9-Nov-01,8-Nov-06,Non-Current
ASQA,30698,Lutheran Church of Australia Qld District,29-Jun-12,29-May-21,Current
ASQA,3070,Advance TAFE,9-Oct-95,1-Nov-14,Cancelled
QLD DETE,30700,WB Financial Management Pty Ltd,22-Feb-02,21-Feb-07,Non-Current
QLD DETE,30701,BRIAN RAYNER & ASSOCIATES PTY. LTD.,10-Mar-02,9-Mar-07,Non-Current
QLD DETE,30702,CUSTOMER CONTACT SOLUTIONS PTY LTD,8-Jan-02,30-Jun-10,Non-Current
QLD DETE,30703,Hayes Knight Institute of Business Management Pty Ltd,7-Dec-01,6-Dec-06,Non-Current
QLD DETE,30704,Mundubbera State School,22-Feb-02,21-Feb-07,Non-Current
ASQA,30705,Bencable Pty Ltd as trustee for The Kennedy Family Trust,29-Jun-12,26-Sep-16,Current
QLD DETE,30706,K and V Equipment Maintenance,15-Feb-02,14-Feb-07,Non-Current
ASQA,30743,The Queensland Institute of Commerce and Technology Pty Ltd,1-Feb-16,31-Jan-23,Current
ASQA,3075,Melbourne Polytechnic,1-Jul-15,30-Jun-22,Current
ASQA,30751,Competency Based Learning Pty Ltd,13-Sep-02,12-Sep-12,Non-Current
QLD DETE,30752,Proston State School,23-Apr-02,31-Jul-09,Non-Current
ASQA,30755,MWTC Pty Ltd,29-Jun-12,7-Jan-17,Current
QLD DETE,30756,CRITICAL RESPONSE TRAINING & SERVICES PTY LTD,19-Apr-02,18-Apr-07,Non-Current
QLD DETE,30757,Telstra Corporation,3-Mar-02,2-Mar-07,Non-Current
ASQA,30758,Brisbane Youth Education Training Centre,29-Jun-12,9-Nov-22,Current
ASQA,30759,Sheldon College,29-Jun-12,8-Oct-22,Current
QLD DETE,30760,Rosella Park School,8-Oct-01,21-Jun-08,Non-Current
QLD DETE,30761,Nambour Special School,8-Nov-01,8-Nov-06,Non-Current
QLD DETE,30762,Russell and John Hutchison,17-Mar-02,22-Jul-04,Non-Current
QLD DETE,30763,Matthew Anthony and Kylie Michelle Gallagher,17-Jun-02,16-Jun-07,Non-Current
QLD DETE,30764,Paradigm Shifting Pty Ltd,2-May-02,1-May-07,Non-Current
QLD DETE,30765,ASMEDIA PTY. LTD.,21-Mar-03,20-Mar-08,Non-Current
QLD DETE,30766,Mt Isa Special School,24-Aug-01,24-Aug-06,Non-Current
QLD DETE,30767,Innisfail Special School,12-Sep-00,11-Sep-05,Non-Current
QLD DETE,30768,Hillbrook Anglican School Limited,23-Nov-01,11-May-10,Non-Current
QLD DETE,30769,"JOHANNESSEN, RHONDEL MAREE",21-May-02,20-May-07,Non-Current
ASQA,3077,Bendigo Kangan Institute,1-Jul-15,30-Jun-22,Current
ASQA,30770,AVIATION AUSTRALIA PTY LTD,29-Jun-12,20-Dec-16,Current
ASQA,30771,RANAK PTY LTD,29-Jun-12,15-Apr-17,Current
ASQA,30772,Customs Brokers and Forwarders Council of Australia Inc,29-Jun-12,6-Dec-16,Current
QLD DETE,30773,Cooloola Christian College Limited,7-Dec-01,7-Dec-06,Non-Current
QLD DETE,30774,Kuraby Special School,17-Dec-01,17-Dec-06,Non-Current
QLD DETE,30775,Calamvale Special School,17-Dec-01,17-Dec-06,Non-Current
ASQA,30777,Woodcrest State College,29-Jun-12,18-Dec-16,Current
ASQA,30782,Sandvik Mining and Construction Australia Pty Ltd,27-Mar-02,1-Feb-16,Cancelled
QLD DETE,30796,Law Enforcement Training and Security Services Pty Ltd,24-May-02,23-May-07,Non-Current
ASQA,30798,Tony Allen Attridge,29-Jun-12,13-Jun-17,Current
ASQA,30801,Training Australia Unlimited Pty Ltd,29-Jun-12,8-Apr-17,Current
QLD DETE,30802,Open Door Volunteers Association Inc,10-Dec-02,9-Dec-07,Non-Current
QLD DETE,30803,Corelink Pty Ltd,10-May-02,15-May-08,Non-Current
QLD DETE,30804,ADF Training Pty Ltd,5-Apr-02,3-Apr-12,Cancelled
QLD DETE,30806,GARY N ADAMSON & KEVIN R WALL & PETER ANDERBERG,26-Jun-02,25-Jun-07,Non-Current
ASQA,30807,DYNAMIC MANAGEMENT GROUP PTY. LTD.,29-Jun-12,22-Apr-17,Current
QLD DETE,30808,Wandoan State School,5-Apr-02,4-Apr-07,Non-Current
QLD DETE,30809,Lynn Jean Nattrass,18-Nov-02,17-Nov-07,Non-Current
QLD DETE,30810,Jordan Pacific Corporation Pty Ltd,9-Sep-02,8-Sep-07,Non-Current
QLD DETE,30811,Sunbay Pty Ltd,5-Mar-02,4-Mar-07,Non-Current
QLD DETE,30812,Stanbroke Pastoral Company Pty Ltd,26-Mar-02,25-Mar-07,Non-Current
ASQA,30813,Paul R and Keryn A O'Neil,31-Oct-12,30-Oct-17,Current
ASQA,30814,FOOD SAFETY OPERATIONS (QLD). PTY LIMITED,29-Jun-12,24-Mar-17,Current
QLD DETE,30815,Heathmond Pty Ltd as Trustee for the Ray Edwards Family Trust,18-Dec-02,17-Dec-07,Non-Current
QLD DETE,30816,Sandra Pearson-Adams Pty Ltd,18-Jun-02,17-Jun-07,Non-Current
QLD DETE,30817,The Australian Institute of Technology Pty Ltd,27-Mar-02,26-Mar-07,Non-Current
QLD DETE,30818,SENTINEL CORPORATE SERVICES PTY. LTD.,30-Apr-02,29-Apr-07,Non-Current
ASQA,30820,Down Under Training and Consulting Pty Ltd,24-Sep-12,23-May-17,Current
ASQA,30822,BIGA LTD,29-Jun-12,23-Apr-17,Current
QLD DETE,30823,Mary Watson College Pty Ltd,18-Aug-02,17-Aug-07,Non-Current
QLD DETE,30824,Joshua Wren,6-Aug-02,5-Aug-07,Non-Current
QLD DETE,30825,Youth Affairs Network of Queensland Incorporated,17-Jul-02,16-Jul-07,Non-Current
ASQA,30826,QUEENSLAND HOTELS ASSOCIATION UNION OF EMPLOYERS,16-Aug-12,15-Aug-17,Current
ASQA,30827,THE SHAREMARKET COLLEGE PTY LTD,29-Jun-12,2-Jun-17,Current
QLD DETE,30828,"LOTFI, MOHAMMED ABD EL-AZIZ",3-Jan-03,19-Jul-11,Cancelled
ASQA,30831,Amy Boleszny Pty Ltd,1-Sep-12,31-Aug-17,Current
QLD DETE,30833,QUALITY CONNECT PTY LTD,19-Aug-02,13-Oct-10,Non-Current
ASQA,30834,NIRVANA HOLDINGS PTY LTD,1-Nov-13,31-Oct-18,Current
ASQA,30835,"EBEJER, THOMAS JOSEPH",29-Jun-12,29-Aug-16,Current
QLD DETE,30836,VTA Pty Limited,18-Jul-02,17-Jul-07,Non-Current
ASQA,30837,VOCATIONAL EDUCATION AND TRAINING (BNIT),29-Jun-12,21-Jun-17,Current
QLD DETE,30838,Professional Academy of Tourism and Hospitality Pty Ltd as trustee for The P..A.T.H. Unit Trust,18-Aug-02,17-Aug-07,Non-Current
ASQA,30839,A.M.T. Helicopters Pty Ltd,29-Jun-12,17-Jul-17,Current
QLD DETE,30840,Isis Management Pty Ltd as Trustee for the Fairley Family Trust,22-Oct-02,21-Oct-07,Non-Current
QLD DETE,30841,MANAGEMENT & TRAINING CORPORATION PTY. LTD.,24-Jun-02,12-Dec-07,Non-Current
ASQA,30842,CABOOLTURE COMMUNITY ADULT LITERACY GROUP INC,9-Sep-02,8-Sep-12,Non-Current
QLD DETE,30843,LIFE COACHING ACADEMY PTY. LTD.,8-Jan-03,7-Jan-08,Non-Current
QLD DETE,30844,Con Calavrias and Georgina Calavrias,17-Jun-02,16-Jun-07,Non-Current
QLD DETE,30845,The Business College of Australia Pty Ltd,12-Sep-02,11-Sep-07,Non-Current
ASQA,30846,Sullivan Nicolaides Pty Ltd,28-Oct-02,9-Nov-15,Cancelled
QLD DETE,30847,Queensland Community Arts Network Inc,18-Jul-02,21-Jun-08,Non-Current
QLD DETE,30848,Jilt Pty Ltd,22-Oct-02,21-Oct-07,Non-Current
QLD DETE,30849,Talget Pty Ltd,29-Mar-03,28-Mar-08,Non-Current
ASQA,30850,A P & C J Burnham,12-Sep-12,11-Sep-17,Current
QLD DETE,30851,Yarraman State School,3-Oct-02,2-Oct-07,Non-Current
QLD DETE,30853,Australian Safety Training Services Pty Ltd,4-Oct-02,3-Oct-07,Non-Current
QLD DETE,30854,John Clive Wells and Carolyn Joy Devine,19-Nov-02,18-Nov-07,Non-Current
QLD DETE,30855,Tin Can Bay State School,10-Feb-03,10-Feb-08,Non-Current
QLD DETE,30856,HCT Service Pty Ltd,26-Jan-03,26-Jan-08,Non-Current
ASQA,30857,MOM Training College Pty Ltd,1-Apr-13,31-Mar-18,Current
QLD DETE,30858,Royal Society for the Prevention of Cruelty To Animals Queensland Inc,24-Oct-02,23-Oct-07,Non-Current
QLD DETE,30859,Gregory Gralton and Toni Gralton as Trustees for the Gralton Family Trust,4-Mar-03,3-Mar-08,Non-Current
QLD DETE,30861,"MCCALL, DONALD LYNSY",16-Mar-04,15-Mar-09,Non-Current
ASQA,30862,Christian Outreach Centre,6-Nov-00,31-Dec-13,Cancelled
QLD DETE,30863,KRB Purchasing and Materials Management Services Pty Ltd and Sattrac Australia Pty Ltd,30-Oct-02,29-Oct-07,Non-Current
QLD DETE,30866,Cooroora Secondary College,24-Jul-03,21-Jun-08,Non-Current
