RCAB,Code,Name,Start Date,End Date,Status
ASQA,167,Institute for Aboriginal Development (Aboriginal Corporation),1-Apr-12,31-Mar-17,Current
ASQA,168,Nungalinya College Incorporated,1-Dec-14,30-Nov-19,Current
Vic VRQA,170,The Suzan Johnston Organization (Aust) Pty Ltd,31-Oct-07,31-Oct-17,Current
ASQA,173,Holmes Commercial Colleges (Melbourne) Ltd,1-Jan-15,31-Dec-19,Current
WA TAC,179,Kalgoorlie College,22-Dec-93,31-Dec-98,Cancelled
WA TAC,180,Excel Education Pty Ltd,14-Dec-95,21-Jun-08,Non-Current
WA TAC,181,Edith Cowan University,8-Jun-95,30-Sep-09,Non-Current
WA TAC,182,3CM Pty Limited,11-Sep-14,30-Nov-18,Current (Suspended)
WA TAC,183,Perth Hospitality Professionals,16-Dec-94,9-Aug-97,Non-Current
WA TAC,184,Perth Bible College Inc.,18-Feb-94,30-Sep-07,Non-Current
ASQA,186,Clip Joint Academy of Hairdressing Pty Ltd,4-Jul-13,3-Jul-18,Current
ASQA,188,Newabon Pty Ltd,1-Jan-02,23-Sep-11,Non-Current
SA DFEEST,193,Uniting Church in Australia - Parkin-Wesley College,1-Jan-94,30-Jun-99,Non-Current
ASQA,195,PARTEC (Qld) Pty Ltd,1-Oct-15,30-Sep-22,Current
ACT DET,200,Australian Institute of Management (ACT Division),1-Dec-93,31-Dec-01,Non-Current
ASQA,201,Transport Industries Skills Centre Inc,26-Oct-12,25-Oct-17,Current
SA DFEEST,228,Stones & Muirden Business College Ltd,19-Dec-03,21-Jun-08,Non-Current
SA DFEEST,230,Retail Industry Training and Advisory Services SA Inc,26-Nov-02,26-Nov-07,Non-Current
SA DFEEST,231,The John Pearce Group (SA) Pty Ltd,11-Aug-99,31-Dec-01,Non-Current
ASQA,233,LM Training Specialists Pty Ltd,30-Sep-03,29-Apr-13,Cancelled
SA DFEEST,234,Comskil Incorporated,30-Apr-98,30-Apr-02,Non-Current
SA DFEEST,236,Workers Educational Association,1-Jan-97,30-Jun-99,Non-Current
